Class,SegPts,InsideGT,GTpts,Prec%,Rec%,F1%
Car,45,0,26,0.0,0.0,0.0
Truck,0,34,38,0.0,89.5,0.0
Pedestrian,0,0,0,0.0,0.0,0.0
Cyclist,0,0,0,0.0,0.0,0.0
Tram,0,0,62,0.0,0.0,0.0
