Class,SegPts,InsideGT,GTpts,Prec%,Rec%,F1%
Car,3499,1435,2782,41.0,51.6,45.7
Truck,0,0,0,0.0,0.0,0.0
Pedestrian,0,0,0,0.0,0.0,0.0
Cyclist,0,0,8,0.0,0.0,0.0
Tram,0,0,0,0.0,0.0,0.0
