Class,SegPts,InsideGT,GTpts,Prec%,Rec%,F1%
Car,1048,863,1143,82.3,75.5,78.8
Truck,713,662,827,92.8,80.0,86.0
Pedestrian,164,0,0,0.0,0.0,0.0
Cyclist,0,103,1239,0.0,8.3,0.0
Tram,0,0,0,0.0,0.0,0.0
