Class,SegPts,InsideGT,GTpts,Precision,Recall,F1
Car,20748,13635,31005,0.6571717755928284,0.4397677793904209,0.5269259753057793
Truck,9777,7725,11437,0.790119668610003,0.6754393634694413,0.7282926369378714
Pedestrian,1295,969,1541,0.7482625482625482,0.6288124594419209,0.6833568406205923
Cyclist,689,103,1269,0.14949201741654572,0.08116627265563438,0.10520939734422882
Tram,106,0,62,0.0,0.0,0.0
