Class,SegPts,InsideGT,GTpts,Prec%,Rec%,F1%
Car,0,0,9,0.0,0.0,0.0
Truck,0,52,65,0.0,80.0,0.0
Pedestrian,0,0,0,0.0,0.0,0.0
Cyclist,0,0,6,0.0,0.0,0.0
Tram,53,0,0,0.0,0.0,0.0
